chromosome	index1	index2	gene	probability	annotation	index3	index4	value
chr1	869458	884494	NOC2L|0.379|41.5%	0.379	.	869459	884494	125,130,0
chr1	924207	925333	HES4|0.319|50.8%	0.319	.	924208	925333	100,155,0
chr1	938741	939782	ISG15|0.191|80.5%	0.191	.	938742	939782	25,230,0
chr1	1128751	1131952	TNFRSF18|0.088|98.0%	0.088	.	1128752	1131952	0,255,0
chr1	1136582	1139411	TNFRSF4|0.165|86.9%	0.165	.	1136583	1139411	25,230,0
chr1	1157491	1160284	B3GALT6|0.249|65.7%	0.249	.	1157492	1160284	75,180,0
chr1	1298972	1300443	AURKAIP1|0.129|93.5%	0.129	.	1298973	1300443	0,255,0
chr1	1327163	1332524	MRPL20|0.178|84.3%	0.178	.	1327164	1332524	25,230,0
chr1	1360771	1366008	VWA1|0.259|63.1%	0.259	.	1360772	1366008	75,180,0
chr1	1397005	1421444	ATAD3B|0.181|83.5%	0.181	.	1397006	1421444	25,230,0
chr1	1466916	1500125	SSU72|0.254|64.3%	0.254	.	1466917	1500125	75,180,0
chr1	1540735	1555853	MIB2|0.280|58.0%	0.280	.	1540736	1555853	100,155,0
chr1	1672530	1701368	NADK|0.244|66.9%	0.244	.	1672531	1701368	75,180,0
chr1	1706589	1812355	GNB1|0.876|5.1%	0.876	.	1706590	1812355	255,0,0
chr1	1836125	1838593	CALML6|0.212|75.2%	0.212	.	1836126	1838593	50,205,0
chr1	2149993	2229316	SKI|0.318|50.9%	0.318	.	2149994	2229316	100,155,0
chr1	2242555	2346079	MORN1|0.142|91.4%	0.142	.	2242556	2346079	0,255,0
chr1	2313073	2326734	RER1|0.533|24.2%	0.533	.	2313074	2326734	175,80,0
chr1	2326102	2333870	PEX10|0.190|80.7%	0.190	.	2326103	2333870	25,230,0
chr1	2429834	2447895	PANK4|0.222|72.7%	0.222	.	2429835	2447895	50,205,0
chr1	2450045	2451544	HES5|0.227|71.4%	0.227	.	2450046	2451544	50,205,0
chr1	2479152	2486757	TNFRSF14|0.158|88.2%	0.158	.	2479153	2486757	25,230,0
chr1	2508096	2512762	C1orf93|0.216|74.4%	0.216	.	2508097	2512762	50,205,0
chr1	2927905	2929325	ACTRT2|0.111|96.0%	0.111	.	2927906	2929325	0,255,0
chr1	3361099	3387537	ARHGEF16|0.258|63.4%	0.258	.	3361100	3387537	75,180,0
chr1	3394372	3517919	MEGF6|0.206|76.9%	0.206	.	3394373	3517919	50,205,0
chr1	3531415	3536549	TPRG1L|0.254|64.3%	0.254	.	3531416	3536549	75,180,0
